"year","Rank","mean_points"
2019,61,22568.8269230769
2019,62,22095.5384615385
2019,63,21708.3269230769
2019,64,21315.8653846154
2019,65,20918.0961538462
2019,66,20650.5384615385
2019,67,20342.8269230769
2019,68,19867.3269230769
2019,69,19533.3269230769
2019,70,19338.25
2019,71,19148.8269230769
2019,72,18911.4038461538
2019,73,18675.4230769231
2019,74,18422.1153846154
2019,75,18222.9807692308
2019,76,17997.8846153846
2019,77,17778.0961538462
2019,78,17567.3269230769
2019,79,17374.5961538462
2019,80,17192.1538461538
2019,81,17042.4615384615
2019,82,16922.1153846154
2019,83,16711.8461538462
2019,84,16547.1730769231
2019,85,16349.6346153846
2019,86,16121.0384615385
2019,87,15938.6346153846
2019,88,15736
2019,89,15532.4038461538
2019,90,15322.7307692308
2019,91,15109.2115384615
2019,92,14909.6346153846
2019,93,14703.5576923077
2019,94,14584.5961538462
2019,95,14413.5192307692
2019,96,14184.5
2019,97,14004.4230769231
2019,98,13822.6538461538
2019,99,13676.9423076923
2019,100,13543.7307692308
2019,101,13433.1538461538
2019,102,13305.4423076923
2019,103,13132.6730769231
2019,104,12980.7884615385
2019,105,12842.6923076923
2019,106,12712.0576923077
2019,107,12554.0576923077
2019,108,12439.4423076923
2019,109,12336.7307692308
2019,110,12232.6153846154
2019,111,12122.8653846154
2019,112,11982
2019,113,11813.1923076923
2019,114,11703.9038461538
2019,115,11537.2307692308
2019,116,11440.6730769231
2019,117,11313.6538461538
2019,118,11165.3076923077
2019,119,11020.4807692308
2019,120,10837.3653846154
2019,121,10669.7692307692
2019,122,10557.0384615385
2019,123,10426.5576923077
2019,124,10306.5961538462
2019,125,10166.0576923077
2019,126,10036.9038461538
2019,127,9921.51923076923
2019,128,9798.09615384615
2019,129,9638.15384615385
2019,130,9534.63461538462
2019,131,9449.01923076923
2019,132,9357.5
2019,133,9263.38461538462
2019,134,9149.03846153846
2019,135,9071.78846153846
2019,136,8995
2019,137,8902.42307692308
2019,138,8832.94230769231
2019,139,8768.84615384615
2019,140,8693.69230769231
2019,141,8622.98076923077
2019,142,8553.07692307692
2019,143,8482.5
2019,144,8406.63461538462
2019,145,8320.82692307692
2019,146,8247.13461538462
2019,147,8174.46153846154
2019,148,8106.23076923077
2019,149,8047.03846153846
2019,150,7984.23076923077
2019,151,7913.88461538462
2019,152,7844.34615384615
2019,153,7778.88461538462
2019,154,7710.17307692308
2019,155,7623.86538461538
2019,156,7530.03846153846
2019,157,7449.78846153846
2019,158,7378.01923076923
2019,159,7309.92307692308
2019,160,7247.84615384615
2019,161,7194.44230769231
2019,162,7129.76923076923
2019,163,7056.34615384615
2019,164,7008.5
2019,165,6950.69230769231
2019,166,6899.13461538462
2019,167,6852.15384615385
2019,168,6805.94230769231
2019,169,6749.69230769231
2019,170,6701.96153846154
2019,171,6654.28846153846
2019,172,6606.63461538462
2019,173,6562.17307692308
2019,174,6514.82692307692
2019,175,6469.42307692308
2019,176,6426.36538461538
2019,177,6379.07692307692
2019,178,6327.67307692308
2019,179,6287.36538461538
2019,180,6248.17307692308
2019,181,6203.30769230769
2019,182,6162.15384615385
2019,183,6128.40384615385
2019,184,6092.46153846154
2019,185,6051.44230769231
2019,186,6005.36538461538
2019,187,5975.36538461538
2019,188,5938.13461538462
2019,189,5908.28846153846
2019,190,5870.82692307692
2019,191,5837.80769230769
2019,192,5798.71153846154
2019,193,5766.76923076923
2019,194,5720.80769230769
2019,195,5681.44230769231
2019,196,5636.75
2019,197,5593.44230769231
2019,198,5558.86538461538
2019,199,5515.75
2019,200,5477.30769230769
2020,1,104944.666666667
2020,2,99578.5
2020,3,83715
2020,4,81653
2020,5,76326.8333333333
2020,6,72934.8333333333
2020,7,65464.6666666667
2020,8,61868.8333333333
2020,9,59702.3333333333
2020,10,57769.75
2020,11,56803.75
2020,12,55686.5833333333
2020,13,54779.5833333333
2020,14,53758.3333333333
2020,15,50220.25
2020,16,49904.75
2020,17,48993.6666666667
2020,18,48559.6666666667
2020,19,47712
2020,20,46593.5833333333
2020,21,45504.5
2020,22,45298.1666666667
2020,23,44919.9166666667
2020,24,43850.4166666667
2020,25,42373.8333333333
2020,26,41341.5
2020,27,40980.3333333333
2020,28,40703.3333333333
2020,29,40413.1666666667
2020,30,39721.6666666667
2020,31,37830.0833333333
2020,32,37299.0833333333
2020,33,36475.9166666667
2020,34,35718.6666666667
2020,35,35244.8333333333
2020,36,33864.8333333333
2020,37,32644
2020,38,32591.6666666667
2020,39,32001.5
2020,40,31471.1666666667
2020,41,30389.1666666667
2020,42,29972.5
2020,43,29755.25
2020,44,29439.0833333333
2020,45,28529.3333333333
2020,46,28215.6666666667
2020,47,27684.5
2020,48,27288.8333333333
2020,49,26587.1666666667
2020,50,26240.6666666667
2020,51,25752.5
2020,52,25194.9166666667
2020,53,24546.75
2020,54,24190.3333333333
2020,55,23917.75
2020,56,23295.0833333333
2020,57,22721.75
2020,58,22044.75
2020,59,21610.1666666667
2020,60,21173.8333333333
2020,61,20481.9166666667
2020,62,20144.8333333333
2020,63,19856.3333333333
2020,64,19719.8333333333
2020,65,19541
2020,66,19343.9166666667
2020,67,19152.5
2020,68,18826.4166666667
2020,69,18556.1666666667
2020,70,18381.4166666667
2020,71,18177.3333333333
2020,72,17873.5833333333
2020,73,17638.9166666667
2020,74,17438.5
2020,75,17093.5
2020,76,16927.5833333333
2020,77,16776.3333333333
2020,78,16559.8333333333
2020,79,16383.5833333333
2020,80,16207.25
2020,81,16091.5
2020,82,15973.6666666667
2020,83,15739.4166666667
2020,84,15402.1666666667
2020,85,15217.6666666667
2020,86,15111.5
2020,87,15003.5833333333
2020,88,14883.0833333333
2020,89,14721.3333333333
2020,90,14616.8333333333
2020,91,14486.5833333333
2020,92,14385.3333333333
2020,93,14208.75
2020,94,14055.3333333333
2020,95,13885.8333333333
2020,96,13766.5
2020,97,13714.1666666667
2020,98,13574.5
2020,99,13453.1666666667
2020,100,13372.5
2020,101,13311.3333333333
2020,102,13229
2020,103,13036.3333333333
2020,104,12956.75
2020,105,12817.5
2020,106,12734.8333333333
2020,107,12660.8333333333
2020,108,12526.75
2020,109,12439.25
2020,110,12336.3333333333
2020,111,12274.9166666667
2020,112,12131.6666666667
